Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
260863/260824    0.046    0.000    0.100    0.000 {built-in method builtins.isinstance}
    94755    0.029    0.000    0.084    0.000 {built-in method builtins.getattr}
93394/30576    0.041    0.000    0.074    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\ops\options.py:565(__getattribute__)
82077/82065    0.021    0.000    0.026    0.000 {built-in method builtins.hasattr}
    71799    0.581    0.000    0.581    0.000 {built-in method builtins.print}
    47680    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
    46035    0.005    0.000    0.005    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\autograph\pyct\inspect_utils.py:79(<genexpr>)
    39797    0.039    0.000    0.039    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationOpType}
    39797    0.011    0.000    0.051    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\ops.py:2538(type)
    34602    0.043    0.000    0.043    0.000 {contourArea}
34519/34509    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    33673    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
    32945    0.016    0.000    0.016    0.000 {built-in method _codecs.lookup}
    32340    0.026    0.000    0.059    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\data\util\options.py:99(get_fn)
30311/19618    0.016    0.000    0.186    0.000 {built-in method builtins.next}
    26157    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    23727    0.004    0.000    0.004    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\eager\context.py:2131(context_safe)
    23115    0.017    0.000    0.031    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\compat.py:89(as_text)
    23115    0.008    0.000    0.038    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\util\compat.py:115(as_str)
    22537    0.038    0.000    0.045    0.000 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\tensorflow\python\framework\dtypes.py:678(as_dtype)
    17841    0.005    0.000    0.105    0.000 C:\Python_3.7.6\lib\abc.py:137(__instancecheck__)
    17841    0.017    0.000    0.099    0.000 {built-in method _abc._abc_instancecheck}
    16335    0.027    0.000    0.031    0.000 C:\Python_3.7.6\lib\contextlib.py:81(__init__)
16335/10994    0.016    0.000    0.152    0.000 C:\Python_3.7.6\lib\contextlib.py:107(__enter__)
