Sun Sep 11 14:21:13 2022    cProfilerFiles/output.prof

         2761684 function calls (2633345 primitive calls) in 22.091 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.045    5.045   21.824   21.824 C:/Python_projects/2_Building_optimal_CNN_model/1.0_python_scripts/2.0_great_python_scripts/3.1.5_GC_PRO_ANALYSE_preprocess_+_extract_+_invertColors_+normalize_+_recognise_object_+_reformated_+_inline_+_videoInput_+_imShowBugFix_+_Cprofiler_+_snakeviz_+_optimized_.py:351(characterRecognition)
      317    4.867    0.015    4.867    0.015 {method 'read' of 'cv2.VideoCapture' objects}
        1    1.335    1.335    1.335    1.335 {built-in method tensorflow.python._pywrap_tfe.TF_ListPhysicalDevices}
     2430    1.308    0.001    1.313    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
        5    0.863    0.173    0.863    0.173 {built-in method cv2.cv2.createTrackbar}
    71799    0.581    0.000    0.581    0.000 {built-in method builtins.print}
      490    0.555    0.001    0.555    0.001 {imshow}
      317    0.485    0.002    0.485    0.002 {Canny}
2708/1265    0.434    0.000    0.447    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      980    0.399    0.000    0.399    0.000 {resize}
      317    0.363    0.001    0.363    0.001 {findContours}
      317    0.277    0.001    0.277    0.001 {dilate}
      317    0.276    0.001    0.276    0.001 {threshold}
        1    0.269    0.269   22.093   22.093 <string>:1(<module>)
       98    0.265    0.003    0.265    0.003 {waitKey}
   136/99    0.260    0.002    6.260    0.063 C:\Python_projects\2_Building_optimal_CNN_model\venv\lib\site-packages\keras\utils\traceback_utils.py:58(error_handler)
       98    0.255    0.003    0.255    0.003 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
      433    0.225    0.001    0.225    0.001 {method 'copy' of 'numpy.ndarray' objects}
      905    0.189    0.000    0.189    0.000 {cvtColor}
      317    0.164    0.001    0.164    0.001 {erode}
      317    0.136    0.000    0.136    0.000 {GaussianBlur}
        1    0.101    0.101    0.101    0.101 {destroyAllWindows}
9403/1806    0.082    0.000    0.083    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.072    0.072    0.072    0.072 {namedWindow}
     3172    0.056    0.000    0.078    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_OperationGetAttrValueProto}
